date,india_close,us_close,usdinr,fair_value,premium
2023-05-03,1269.2,15.38,81.83,15.510204081632654,-0.008394736842105344
2023-05-04,1273.6,15.3,81.73,15.583017251927075,-0.01816190326633149
2023-05-05,1259.1,15.25,81.81,15.390539053905389,-0.009131522516082846
2023-05-08,1265.6,15.26,81.78,15.475666422108093,-0.013935840707964497
2023-05-09,1270.7,15.27,82.04,15.488785958069235,-0.014125442669394861
2023-05-10,1263.3,15.3,81.94,15.417378569685136,-0.007613393493231979
2023-05-11,1256.1,15.03,82.13,15.294046024595154,-0.017264628612371657
2023-05-12,1245.2,15.08,82.17,15.153949129852744,-0.00487985865724383
2023-05-15,1258.4,15.34,82.3,15.290400972053465,0.0032438016528923974
2023-05-16,1264.3,15.11,82.26,15.369559931923169,-0.016887922170370828
2023-05-17,1246.9,15.19,82.39,15.134118218230368,0.003692437244366076
2023-05-18,1246.0,15.15,82.77,15.053763440860216,0.006392857142857089
2023-05-19,1268.9,15.25,82.65,15.352692075015124,-0.006688864370714809
2023-05-22,1292.8,15.65,82.83,15.607871544126525,0.0026991800742575123
2023-05-23,1300.1,15.53,82.84,15.694109126026072,-0.010456734097377018
2023-05-24,1298.7,15.56,82.66,15.711347689329786,-0.009633017633017715
2023-05-25,1304.4,15.66,82.76,15.761237312711454,-0.0064231830726770855
2023-05-26,1317.5,15.87,82.58,15.954226204892226,-0.005279240986717393
2023-05-30,1323.9,15.9,82.67,16.014273617999276,-0.007135735327441717
2023-05-31,1318.3,15.96,82.68,15.94460570875665,0.0009654858529926091
2023-06-01,1319.5,15.83,82.41,16.011406382720544,-0.011329821902235748
2023-06-02,1299.0,15.8,82.35,15.774134790528235,0.0016397228637412553
2023-06-05,1304.5,15.4,82.67,15.779605661062053,-0.024056726715216525
2023-06-06,1279.0,15.64,82.61,15.482387120203365,0.010180140734949328
2023-06-07,1289.0,15.64,82.5,15.624242424242425,0.0010085337470908673
2023-06-08,1282.8,15.44,82.57,15.535908925759962,-0.006173370751481166
2023-06-09,1266.0,15.45,82.46,15.352898374969683,0.006324644549762892
2023-06-12,1292.0,15.81,82.43,15.673905131626833,0.00868289473684225
2023-06-13,1304.9,15.85,82.38,15.840009711094927,0.0006306996704728007
2023-06-14,1300.4,15.56,82.1,15.839220462850184,-0.017628422023992618
2023-06-15,1286.8,15.62,82.18,15.658311024580188,-0.0024466894622318103
2023-06-16,1291.7,15.83,81.89,15.773598730003664,0.003575675466439554
2023-06-20,1303.4,15.64,82.11,15.873827791986361,-0.014730397422126784
2023-06-21,1299.4,15.39,82.04,15.838615309605071,-0.028324149607511173
2023-06-22,1281.6,15.47,81.93,15.642621750274623,-0.011035346441947369
2023-06-23,1265.0,15.2,82.01,15.424948177051578,-0.014583399209486148
2023-06-26,1270.4,15.5,82.0,15.49268292682927,0.0004722921914357414
2023-06-27,1279.2,15.62,81.98,15.603805806294218,0.0010378361475922304
2023-06-28,1293.4,15.75,82.0,15.773170731707317,-0.0014689964434823066
2023-06-30,1335.5,16.07,82.06,16.274677065561782,-0.012576413328341363
2023-07-03,1333.7,16.14,81.96,16.2725719863348,-0.008146959586113889
2023-07-05,1347.3,16.26,82.34,16.36264270099587,-0.006272990425294944
2023-07-06,1343.9,16.07,82.49,16.291671717783977,-0.013606443931840406
2023-07-07,1330.2,16.05,82.74,16.076867295141408,-0.0016711772665765068
2023-07-10,1329.2,16.01,82.57,16.097856364296963,-0.005457643695455983
2023-07-11,1348.6,16.24,82.39,16.36849132176235,-0.007849918433931569
2023-07-12,1333.3,16.07,82.03,16.253809581860295,-0.01130870771769299
2023-07-13,1365.1,16.79,82.04,16.639444173573864,0.009048128342246109
2023-07-14,1426.0,17.04,82.16,17.356377799415775,-0.018228330995792463
2023-07-17,1423.0,17.29,82.03,17.347311959039377,-0.0033037947997189843
2023-07-18,1475.2,17.88,82.03,17.983664512983054,-0.0057643709327549475
2023-07-19,1475.0,17.71,82.09,17.968083810451944,-0.014363457627118659
2023-07-20,1449.5,16.22,81.99,17.678985242102698,-0.08252652638840996
2023-07-21,1331.6,16.3,81.99,16.24100500060983,0.0036324722138780796
2023-07-24,1336.6,16.22,81.81,16.337856007823003,-0.00721367649259308
2023-07-25,1334.6,16.38,81.87,16.301453523879317,0.0048183725460813065
2023-07-26,1348.9,16.62,81.99,16.45200634223686,0.010211134998887816
2023-07-27,1353.2,16.63,82.15,16.472306755934266,0.009573233816139393
2023-07-28,1340.5,16.46,82.22,16.303819022135734,0.009579410667661437
2023-07-31,1355.7,16.66,82.24,16.48467898832685,0.010635391310761966
2023-08-01,1365.2,16.8,82.25,16.598176291793315,0.012159390565484873
2023-08-02,1356.9,16.52,82.58,16.43133930733834,0.005395828727245755
2023-08-03,1364.3,16.51,82.74,16.489001692047378,0.0012734735761930072
2023-08-04,1378.4,16.71,82.83,16.641313533743816,0.004127466627974252
2023-08-07,1393.0,16.78,82.75,16.83383685800604,-0.0031981335247665
2023-08-08,1390.2,16.77,82.85,16.779722389861195,-0.0005794130340958104
2023-08-09,1394.4,16.71,82.84,16.832448092708837,-0.007274526678141102
2023-08-10,1389.1,16.87,82.69,16.798887410811464,0.004233172557771336
2023-08-11,1371.9,16.68,82.87,16.554844937854472,0.007560026240979623
2023-08-14,1393.6,16.86,83.17,16.75604184201034,0.006204219288174384
2023-08-16,1418.5,17.13,83.19,17.051328284649596,0.004613817412759902
2023-08-17,1411.6,16.97,83.09,16.98880731736671,-0.0011070416548597528
2023-08-18,1388.8,16.72,83.14,16.704354101515516,0.0009366359447002814
2023-08-21,1405.4,16.88,83.1,16.912154031287606,-0.001901238081685075
2023-08-22,1403.8,16.99,82.94,16.925488304798648,0.0038115116113406344
2023-08-23,1408.0,17.27,82.69,17.02745192889104,0.014244531249999914
2023-08-24,1423.6,17.13,82.57,17.241128739251543,-0.006445560550716545
2023-08-25,1420.1,17.25,82.64,17.18417231364956,0.003830716146750346
2023-08-28,1415.7,17.33,82.6,17.139225181598064,0.011130889312707337
2023-08-29,1417.7,17.42,82.7,17.142684401451028,0.016176906256612833
2023-08-30,1435.2,17.55,82.73,17.347999516499456,0.011644021739130483
2023-08-31,1435.5,17.37,82.78,17.34114520415559,0.0016639498432604594
2023-09-01,1443.9,17.52,82.69,17.461603579634783,0.003344275919384909
2023-09-05,1478.9,17.77,83.03,17.81163434903047,-0.0023374805598755932
2023-09-06,1477.5,17.58,83.14,17.771229251864327,-0.01076060913705601
2023-09-07,1466.2,17.52,83.21,17.620478307895688,-0.005702359841768034
2023-09-08,1469.6,17.75,82.93,17.720969492342938,0.001638200870985429
2023-09-11,1476.5,17.95,83.03,17.782729134047933,0.00940636640704362
2023-09-12,1501.1,18.06,82.86,18.11609944484673,-0.0030966624475384785
2023-09-13,1498.4,18.0,82.93,18.06825033160497,-0.0037773625200213656
2023-09-14,1507.0,18.11,83.02,18.15225246928451,-0.0023276708692766546
2023-09-15,1511.6,17.75,83.15,18.17919422730006,-0.023609089706271402
2023-09-18,1491.8,17.76,83.27,17.91521556382851,-0.008663895964606483
2023-09-20,1490.3,17.89,83.07,17.94029132057301,-0.002803261088371367
2023-09-21,1501.8,17.74,83.11,18.070027674166766,-0.018263816753229523
2023-09-22,1496.2,17.78,82.95,18.03737191078963,-0.014268814329634893
2023-09-25,1474.2,17.61,83.11,17.737937672963543,-0.007212657712657777
2023-09-26,1460.7,17.27,83.24,17.548053820278714,-0.015845279660436917
2023-09-27,1467.0,17.44,83.18,17.63645106996874,-0.011138922972051546
2023-09-28,1439.5,16.96,83.13,17.31625165403585,-0.020573254602292534
2023-09-29,1435.5,17.11,83.08,17.27852672123255,-0.009753535353535514
2023-10-03,1434.0,17.0,83.22,17.231434751261716,-0.013430962343096264
2023-10-04,1444.4,17.44,83.25,17.350150150150153,0.0051786208806423595
2023-10-05,1463.5,17.61,83.24,17.581691494473812,0.0016101127434231532
