date,capital,peak,drawdown
2023-07-11,104902.05409202563,104902.05409202563,0.0
2023-07-12,104902.05409202563,104902.05409202563,0.0
2023-07-13,104902.05409202563,104902.05409202563,0.0
2023-07-14,104902.05409202563,104902.05409202563,0.0
2023-07-17,104902.05409202563,104902.05409202563,0.0
2023-07-18,104902.05409202563,104902.05409202563,0.0
2023-07-19,104902.05409202563,104902.05409202563,0.0
2023-07-20,104902.05409202563,104902.05409202563,0.0
2023-07-21,105753.42865816882,105753.42865816882,0.0
2023-07-24,105753.42865816882,105753.42865816882,0.0
2023-07-25,105753.42865816882,105753.42865816882,0.0
2023-07-26,105753.42865816882,105753.42865816882,0.0
2023-07-27,105753.42865816882,105753.42865816882,0.0
2023-07-28,105753.42865816882,105753.42865816882,0.0
2023-07-31,105753.42865816882,105753.42865816882,0.0
2023-08-01,105753.42865816882,105753.42865816882,0.0
2023-08-02,105753.42865816882,105753.42865816882,0.0
2023-08-03,105753.42865816882,105753.42865816882,0.0
2023-08-04,105753.42865816882,105753.42865816882,0.0
2023-08-07,105753.42865816882,105753.42865816882,0.0
2023-08-08,105753.42865816882,105753.42865816882,0.0
2023-08-09,105753.42865816882,105753.42865816882,0.0
2023-08-10,105753.42865816882,105753.42865816882,0.0
2023-08-11,105753.42865816882,105753.42865816882,0.0
2023-08-14,105753.42865816882,105753.42865816882,0.0
2023-08-16,105753.42865816882,105753.42865816882,0.0
2023-08-17,105753.42865816882,105753.42865816882,0.0
2023-08-18,105753.42865816882,105753.42865816882,0.0
2023-08-21,105753.42865816882,105753.42865816882,0.0
2023-08-22,105753.42865816882,105753.42865816882,0.0
2023-08-23,105753.42865816882,105753.42865816882,0.0
2023-08-24,105753.42865816882,105753.42865816882,0.0
2023-08-25,105753.42865816882,105753.42865816882,0.0
2023-08-28,105753.42865816882,105753.42865816882,0.0
2023-08-29,105753.42865816882,105753.42865816882,0.0
2023-08-30,105753.42865816882,105753.42865816882,0.0
2023-08-31,105753.42865816882,105753.42865816882,0.0
2023-09-01,105753.42865816882,105753.42865816882,0.0
2023-09-05,105753.42865816882,105753.42865816882,0.0
2023-09-06,105753.42865816882,105753.42865816882,0.0
2023-09-07,105753.42865816882,105753.42865816882,0.0
2023-09-08,105753.42865816882,105753.42865816882,0.0
2023-09-11,105753.42865816882,105753.42865816882,0.0
2023-09-12,105753.42865816882,105753.42865816882,0.0
2023-09-13,105753.42865816882,105753.42865816882,0.0
2023-09-14,105753.42865816882,105753.42865816882,0.0
2023-09-15,105753.42865816882,105753.42865816882,0.0
2023-09-18,105753.42865816882,105753.42865816882,0.0
